"gene_symbol","log2_fold_change","adj_p_value","avg_expression","t_statistic"
"PABIR3",0.00386252306046513,0.964556847002346,0.496226903382353,0.188414328583128
"PABIR3",-0.00172369308837211,0.995792220904608,0.886106362794118,-0.0264270344454726
"CFAP53",-0.0167906492930233,0.929633393423274,1.01160954926471,-0.346794824315222
"CFAP53",0.345040730279069,0.346348000951637,1.05924851338235,2.03541838410796
"ARMCX4",-0.174649897172093,0.454479722476757,1.20695679735294,-1.63529124478888
"RBBP6",-0.00114777087441863,0.997908299417116,0.921539813088235,-0.0123632905431299
"CENPBD1P",0.00352509521860461,0.991667365981598,0.988176446470588,0.0478363371910916
"TRIOBP",0.0279747185395348,0.650932790161803,0.861860584852941,1.10489581074967
"TRIOBP",0.232923166576744,0.397047859194419,0.940782750147059,1.83655957870139
"CATSPER1",-0.000257250297674445,0.994294844942379,0.388696123382353,-0.035404352431694
"HOXD4",0.000977626734883696,0.978261327208841,0.407612632058824,0.124698299541048
"GSC",0.00306369272558142,0.906507526533442,0.316532035294118,0.421522511403767
"SP7",-0.00578427621395349,0.86916349739383,0.477585303676471,-0.543210349469132
"PDE7A",-0.0146196314046513,0.979806448952806,1.25443223411765,-0.113857428000433
"CNOT7",-0.249906717051163,0.495829205792066,1.18074096514706,-1.51440756614413
"CRYZL1",0.157020881386046,0.345650092283553,1.12437811102941,2.03713718939319
"PRSS33",0.00708261894883724,0.965769493821117,0.966678268676471,0.182445123847593
"PRSS33",0.0412702245953488,0.287145720381276,0.928493835294118,2.2973969555101
"CBARP",-0.016363629572093,0.935961946284464,0.800735158088235,-0.315431869016907
"CBARP",-0.0141250913302325,0.855259593641455,0.660658032647059,-0.587954881413771
"MCMDC2",-0.00803273375813952,0.873605862338942,0.619017661617647,-0.530836744323526
"TIRAP",-0.0583189477767442,0.646074851773016,1.07568789735294,-1.11553913893444
"LEAP2",0.130643112632558,0.557052453408765,1.15900528588235,1.34333242128149
"MSI2",-0.305544443302325,0.851466295169393,1.84693991338235,-0.599307323192201
"SCIN",0.0775337313581395,0.979795994796936,1.79037025573529,0.114119824740372
"SCIN",0.304716919637209,0.853534484087014,1.38839525044118,0.593124286830674
"CTCFL",-0.00673694366511628,0.949142451893262,0.839393212941177,-0.259844272001978
"C4orf33",-0.227367486827907,0.309389516291984,1.18986677382353,-2.19497252675304
"C4orf33",0.0074784070418605,0.932571180427226,0.910538446911765,0.331612619903975
"C4orf33",0.0819823468744185,0.42063703548016,0.809580841029412,1.7554058191259
"ZNF333",-0.0320104945023256,0.865555634974673,0.997597935147059,-0.555669961446391
"TVP23C",0.081550960288372,0.437253025358363,0.933522507205882,1.6970804821443
"RDH10",0.164828734511628,0.473649343156062,0.657666952941176,1.57596218338925
"RDH10",0.0110840906511628,0.865906610948277,0.874711808676471,0.554687638674172
"SRSF12",-0.218926980855814,0.206141946251877,1.00190708264706,-2.72850004238693
"GARIN4",-0.0288469428093023,0.721334845537466,0.919166843529412,-0.932588051808873
"GARIN4",-0.0061141628651163,0.841240263017592,0.478179596470588,-0.626376335036118
"GAPT",-0.0138868901674418,0.911498431538217,0.533620815441176,-0.405252111440423
"SCUBE1",0.223987100809302,0.333877921437852,0.876770281617647,2.08198949102082
"ERICH5",-0.0384244014883719,0.76016143882291,1.22261308529412,-0.839072634671056
"ERICH5",-0.0859444002418605,0.776962214755796,1.30240378147059,-0.795230797197838
"CCDC185",-0.0112623404558139,0.939277394329342,0.983381256911765,-0.303677529102683
"ENTHD1",0.0223503755069768,0.765753558062599,0.989410331911765,0.824360108682479
"ENTHD1",0.00912298992558148,0.848281699703136,0.684845148088235,0.60870990324554
"TSSK3",0.00692841516279069,0.756546360760199,0.375617250294118,0.85119346589219
"WFDC6",0.00139480743255815,0.982073406293447,0.917087536617647,0.101775183084218
"CLEC12A",0.0271674581767442,0.734220299588352,0.829289259117647,0.902312847216286
"BRF1",-0.306708324186046,0.34268932280425,1.20227844088235,-2.04996405419429
"TMEM266",-0.0597041280651161,0.813514735856533,1.19645360338235,-0.701582161609527
"BACH1",0.00749779026976745,0.891117280701645,0.838424111470588,0.480366634480615
"CALML6",-0.0588578196558139,0.378252000975964,1.02798560897059,-1.90731077916292
"NLRP5",-0.00019293670697673,0.997123973966403,0.384517585294118,-0.0212914936038703
"ODF4",0.00309249226976748,0.936948997183223,0.527265526617647,0.3116152187967
"ODF4",0.0338979335348838,0.79569497222372,0.957084966029412,0.744992374304166
"CLEC4F",-0.0237594304186046,0.3720747863495,0.610591659705882,-1.92789183971022
"DEFB106A",-0.000816103162790681,0.992687495333518,0.284790383235294,-0.0433015857232214
"DEFB106A",0.00939932424186044,0.809385735437729,0.635124866470588,0.711011840709094
"WFDC9",-0.000811541274418521,0.995517708872143,1.01202137691176,-0.02755517700356
"WFDC9",0.0017658843627907,0.956121242739013,0.391707941029412,0.226112862289474
"NEDD1",0.0802580378883721,0.547075212442501,0.977932328088235,1.37224429718783
"TTLL10",0.00265144135813955,0.961711910523452,0.383079802058824,0.200313866835326
"TTLL10",0.125032339516279,0.38483986829121,1.16285994676471,1.88537434080027
"CALR3",0.00114678018604652,0.979140945531362,0.521455056176471,0.118084431832436
"ZNF22-AS1",0.0206258165488372,0.948308159751128,0.991214405441176,0.264119624830632
"ETV3",-0.140683677516279,0.637124315787169,1.11875799485294,-1.13509999187143
"KLHL10",0.00357356193488377,0.94505105578486,0.68866243,0.278045333210925
"KLHL10",0.0572925089116279,0.27549699446124,0.715535885882353,2.35200932390334
"TM2D3",-0.127353006446511,0.329729188204179,0.837005707794118,-2.10500812454175
"ZNF485",-0.0628403063069766,0.772375318679614,1.10511603411765,-0.808547868274366
"WDR17",-0.0704009160930232,0.796956886120547,0.992680642352941,-0.741964637609849
"MFSD6L",-0.0195461669116279,0.929036428934483,1.09825396573529,-0.351000059144747
"CDH23",0.0872551578325581,0.351387396058629,0.636284981911765,2.01806402186731
"ANKAR",0.00791620711627909,0.93469347042222,0.990002785147059,0.320181741456399
"MEGF11",-0.0615577475534883,0.865426917744183,0.768541949117647,-0.555891574919108
"ACKR5",0.0492575873953489,0.495336256845802,1.04368431573529,1.51559476973096
"ESX1",-0.00710175303255824,0.949237057152669,1.00513477161765,-0.259400873056276
"FAM167A-AS1",-3.82157209296689e-06,0.999943237138088,0.763974103382353,-0.000196431731520415
"SCGB1C1",0.0071785689395349,0.904448665580229,0.506175251617647,0.428941872292184
"DNAJC5G",-0.134503665758139,0.2650783785813,1.02258203544118,-2.40420941608765
"WDR88",0.0107234734139535,0.722652009844106,0.822233557647059,0.92955373694368
"WDR88",0.00182398006511627,0.968555290711672,0.421386260441176,0.168670479851861
"PRUNE2",0.195778477981395,0.761055458342418,1.26160186602941,0.835709322066372
"MBD3L2",-0.0186911564279069,0.45287877329506,0.418594212941176,-1.64257837798045
"ADAMTSL1",0.00352276633488375,0.907577018148678,0.446970805147059,0.41805648016386
"MBD3L1",0.0373011593023256,0.757986068644494,1.11792416220588,0.8454458715143
"MBD3L1",0.0186978155534883,0.580963940702885,0.404350412941176,1.28011638512543
"TENT5D",0.00301499857674417,0.934373126679633,0.419237608382353,0.322896881939445
"SERPINB11",0.000993919069767496,0.982217263953979,0.539696272352941,0.0979087985083703
"LINC00161",0.0511663555534883,0.480837214478698,1.01926150617647,1.5564625042417
"DSCR10",-0.0934884415534882,0.154970212099662,0.938443743382353,-3.03991916498248
"DSCR10",0.00259503516279071,0.955315955681204,0.414816675882353,0.229792119854467
"ABHD11",-0.074880918232558,0.565403483508456,0.584855610882353,-1.31893060836625
"ACAP2",0.0807821784837208,0.72701731005318,0.896933845441176,0.91899549211566
"GAMT",-0.0486521892744187,0.543547986858839,0.940167613382353,-1.38342881644991
"GAMT",-0.130942692446511,0.357945735252788,0.944111320294118,-1.99282353487104
"PLCD3",0.280011292809302,0.357737890552328,0.801924281029412,1.99456344221225
"IRF6",0.015902427544186,0.645890966493603,0.451785473970588,1.11601640324884
"IRF6",0.00191315006511627,0.975477963116634,0.747903973529412,0.135998527401461
"PTPRC",-0.0351263171069767,0.638832553433383,1.04107013073529,-1.13099745444958
"MAN1A2",-0.128826591665116,0.660855991185834,1.22819533294118,-1.07852680600879
"RAPH1",-0.137586059823256,0.514696432666267,1.14762255279412,-1.46098371297288
"SMCR8",-0.00749566768372093,0.916491489609449,0.401268624705882,-0.391423124055928
"LACTB",-0.161028209488372,0.449230481706034,0.955481395882353,-1.6552741373009
"LACTB",-0.0579032491534883,0.756734350661837,0.926249694705882,-0.849707874918248
"BNC1",-0.00119546848372096,0.98728334365386,0.642173914411765,-0.0733204129943021
"MPP4",-0.00180791239069765,0.980833661494639,0.637474769117647,-0.110091270123812
"AFG1L",0.00844512489302331,0.977503477485665,1.09161047323529,0.12650938669818
"IDI2",-0.00815556906976747,0.787796368029388,0.620050478088235,-0.765473609970263
"CYP11B1",0.000716107572093032,0.986133149128366,0.474758926470588,0.0803327489259514
"TAF8",0.114533345097674,0.177618671855012,0.984272586764706,2.87558728572089
"COBL",0.000226123693023247,0.999261626747828,1.04898664161765,0.00277937903687883
"SLAMF6",0.110196534762791,0.331741498860728,1.01925238073529,2.09520247063554
"ZSCAN20",0.031719183144186,0.666000783497652,1.01357023764706,1.06676697394723
"ZSCAN20",0.00598614765581398,0.931287317863483,0.451357156323529,0.337378990270458
"GPBAR1",0.0237734333116279,0.387879490920181,0.526894086323529,1.87185205802208
"RHBDL2",-0.111452729013953,0.897857072331831,1.41604240779412,-0.454049277835022
"FRAS1",-0.0373455699069767,0.502494302009721,0.509873458970588,-1.49561952206297
"BRSK1",0.0401787906046511,0.846487216397337,1.01274467558824,0.612757822295704
"CRB2",0.0554124423348836,0.947278423211119,1.18799615191176,0.268534758767214
"KCNE4",1.20400468535814,0.237918293603515,1.14620668882353,2.54353388272392
"KCNE4",1.03764085926512,0.236204516795602,0.999821509558824,2.55310784480927
"CD300LG",0.0077200748093023,0.804291154863833,0.518751685588235,0.724908568281876
"SLC34A3",0.016380804772093,0.926408111169643,0.970213286323529,0.359866194278988
"CPA6",0.00419020384186045,0.906614258927067,0.564006728676471,0.421158728415649
"WBP2NL",0.0489301289209302,0.943216192291247,1.28248551426471,0.287506520956571
"HIPK1",1.00204651164182e-06,0.999955531594756,0.556994632352941,0.000112290443220957
"HIPK1",0.0305080052930232,0.933897836610167,1.00773417632353,0.327803650856572
"MTBP",-0.130365723786046,0.128024589021601,1.09580562926471,-3.2049321044334
"ACVR1C",-0.150439785637209,0.706214918390762,1.36121801411765,-0.972171250119712
"TMEM74",-0.0668616266418604,0.747334643016551,0.942026197058824,-0.872999238577635
"TMEM74",-0.0700889695813952,0.712114088766454,0.881232392058824,-0.955520922864471
"TIGD4",-0.085200504576744,0.817673765096385,1.09174404205882,-0.691133462519241
"TIGD4",-0.00966358878139536,0.96502732824416,1.01294838558824,-0.185731024126966
"ART5",0.2549906044,1.48189594201554e-13,0.820845615735294,11.2417380823042
"GARIN6",-0.00313631769302322,0.917508439774431,0.384369404117647,-0.387374395445692
"LINC01547",-0.0489374401116278,0.831422012753532,1.04426108058824,-0.653707051118686
"NLRP11",0.00571959558139533,0.81885061656183,0.450475586911765,0.687795793403728
"ATP6V1C2",0.015411465683721,0.884387937982618,0.737747095147059,0.50100537282125
"CLDN19",-0.000157604651162788,0.99742690156649,0.449426851764706,-0.0183430625698627
"VTI1A",0.217953177786046,0.420948292361876,1.24040045058824,1.75384008560614
"KIF6",-0.219230708223256,0.865741591329661,1.17397665794118,-0.555034732355581
"DRC10",0.0524057593581395,0.354931519908054,0.574331150735294,2.00458769943824
"TAGAP",-0.0332226491534884,0.590443063330452,0.907742424705882,-1.25238366334399
"TAGAP",0.00518772842790697,0.859081529050599,0.436937891470588,0.574007229147859
"STON2",0.104332346111628,0.552915283714414,0.683704173676471,1.35750187450371
"SERPINA12",0.023594351516279,0.875352742435328,0.987861358823529,0.524874768429295
"LETM2",-0.0230906358976743,0.867570376674345,0.732659926323529,-0.54865950267635
"BSND",-0.00142419389767445,0.990664174255206,0.5456358,-0.0548191979909221
"BSND",0.0189802294511627,0.866730479058449,0.589999530882353,0.552116541262346
"CLEC4C",0.000486270902325627,0.995922309225806,0.842193166764706,0.0250246289428234
"NLRC4",0.0417612158790697,0.583022549902982,0.503442161911765,1.27495914608709
"NLRC4",-0.00291497993488371,0.963779842959197,0.762898045735294,-0.192382967201441
"PRSS36",-0.0820013986976743,0.274994666604208,1.13183091764706,-2.35366823491168
"ZDHHC15",-0.201461385832558,0.50658304688432,1.16610445426471,-1.48432209826367
"RAI1",-0.00801886740465114,0.957232252006876,0.872132435588235,-0.220564063110627
"CDK15",-0.0111400502046511,0.862995404395244,0.694996251911765,-0.562957337031716
"ZNF570",-0.0110674024,0.958373216854611,0.885579002058824,-0.214421135285904
"NUDT9P1",-0.149611903060465,0.309509941264594,1.04286730573529,-2.19347541608639
"BTBD16",-0.0442619706139535,0.92719773301424,0.5131274825,-0.356816055583263
"RTP3",0.0499267634697674,0.528600810665615,0.533059928676471,1.42562778593659
"RTP3",-0.00122443605581395,0.972358774783143,0.368267242941176,-0.148934457638374
"TSPEAR",-0.00366044846511623,0.966064781243207,0.914201697352941,-0.180462800830202
"MIPOL1",0.0164370279348837,0.868048971261457,0.897442075441176,0.547661119537239
"MIPOL1",-0.00259025503255816,0.98702612986909,0.997255100588235,-0.075471387794868
"C6orf141",-0.178088006939535,0.588090918586666,1.02800040617647,-1.25933228906635
"ALMS1P1",-0.0333583484744186,0.858811417022684,1.11406911897059,-0.574701601982126
"MYO3B",0.00437469105116283,0.943346739122205,0.533459547647059,0.286925798748116
"ADAM21",-0.0205940644651163,0.772219684730608,0.437355153235294,-0.809032330654614
"TRIML2",-0.0134445494883721,0.874861728845218,0.970686434411765,-0.526169972564747
"ABCC13",0.00451349789767439,0.967235331857768,0.796555753529412,0.173040170544741
"ABCC13",0.000424504669767445,0.992414471364216,0.417271068823529,0.0447495902560388
"IL12RB1",0.084911217516279,0.528044383820773,0.596939524264706,1.42699729969802
"GTF2A1L",-0.0111909158139534,0.933897836610167,0.599094388529412,-0.327178846698673
"TRPV3",0.183603417283721,0.53670257652228,1.12964537147059,1.39996586885443
"CNBD1",-0.0101368951255813,0.932507784788522,0.732927122647059,-0.33211623253934
"CNBD1",-0.0070296275255814,0.87127962140489,0.527686810441176,-0.53742465471727
"ABCC12",-0.0465656363906976,0.48646891656023,0.412583793529412,-1.53943103529348
"MMP21",0.0131273968651163,0.84204033471943,0.803804948382353,0.62365813679485
"TMEM190",0.0138962948465116,0.831877959590985,0.609663735882353,0.652617267874204
"GAS2L2",-0.0683418026232557,0.134101275628099,0.827324810294118,-3.1772280017558
"KCNG4",-0.00671131763720934,0.923379195956055,0.616895172647059,-0.369493261121287
"PXT1",0.00731136022325578,0.564501852855027,0.385099267058824,1.32161505246366
"CACNG5",-0.0955510790604649,0.208098112186905,1.00936874867647,-2.7102314785468
"LINC00308",-0.0033564440186047,0.961054087318863,0.578692037647059,-0.203330008880345
"LINC00308",0.0135165556465116,0.888376818207596,0.584211495882353,0.48946302320407
