"gene_symbol","Control_GSM300168","Control_GSM300169","Control_GSM300170","Control_GSM300171","Control_GSM300172","Control_GSM300174","Control_GSM300178","Control_GSM300182","Control_GSM300185","Control_GSM300187","Control_GSM300190","Control_GSM300193","Control_GSM300197","Control_GSM300205","Control_GSM300209","Control_GSM300215","Control_GSM300219","Control_GSM300223","Control_GSM300227","Control_GSM300231","Control_GSM300235","Control_GSM300239","Control_GSM300243","Control_GSM300255","Control_GSM300262","Control_GSM300268","Control_GSM300272","Control_GSM300276","Control_GSM300280","Control_GSM300286","Control_GSM300290","Control_GSM300294","Control_GSM300298","Control_GSM300301","Control_GSM300305","Control_GSM300309","Control_GSM300313","Control_GSM300317","Control_GSM300321","Control_GSM300325","Control_GSM300329","Control_GSM300333","Control_GSM300339","AD_GSM1176211","AD_GSM1176212","AD_GSM1176213","AD_GSM1176214","AD_GSM1176215","AD_GSM1176216","AD_GSM1176217","AD_GSM1176218","AD_GSM1176219","AD_GSM1176220","AD_GSM1176221","AD_GSM1176222","AD_GSM1176223","AD_GSM1176224","AD_GSM1176225","AD_GSM1176226","AD_GSM1176227","AD_GSM1176228","AD_GSM1176229"
"QRICH2",0.62920403,1.3532006,1.8040067,1.0237982,1.2998495,1.888859,1.8732078,1.3380691,2.208519,1.5764663,1.5812421,0.95924956,1.5274562,1.2637922,1.3954399,1.1301533,1.4180528,1.023533,1.0024755,1.4380355,1.6381607,1.4943141,1.3421242,1.7430708,1.3412275,1.4872664,1.4982755,1.5580897,1.577061,2.0044177,1.3909613,1.345682,2.016203,1.2840276,1.3747476,1.339082,1.5280348,1.2937777,1.5625154,1.3107702,1.4307122,1.5234178,1.5396377,1.1399555,0.98819965,1.0280392,1.0702664,0.8405087,0.79667085,1.3098361,0.98614573,0.75006807,0.86649305,1.0419352,0.935818,1.0261093,1.3965566,0.93263805,0.97927004,0.9750197,1.4189163,0.9390096
"CD9",0.74771756,0.7014065,0.7256775,0.71996456,0.7764289,0.82095927,0.7864632,0.81108314,0.65989745,0.7498632,0.89523435,0.7500048,0.8569685,0.83017087,0.85308796,0.78959274,0.8490649,0.7983013,0.7108745,0.8046666,0.80985737,0.8100102,0.78408736,0.5986066,0.58298296,0.7904892,0.8253183,0.80193233,0.8356832,0.7869094,0.8190983,0.94964486,0.8942193,0.8896653,0.80741036,0.81677854,0.80725783,0.75827646,0.9956197,0.7895927,0.76374525,0.75684375,0.9320314,0.8695992,1.0077708,1.0767303,0.770845,1.0408921,0.7970806,0.97165227,1.6700455,0.9986643,1.0391225,1.0175368,1.0305115,0.82260245,1.0279813,1.0328529,1.0106337,0.96232593,0.79314387,0.99320287
"STAG3L4",0.98926896,1.0231037,0.85470927,1.111048,0.94427186,0.7824859,0.85295755,0.935596,0.9284481,0.5380978,0.65294886,0.60218215,0.7947143,0.5575728,0.61997706,0.5691851,0.53011894,0.90668255,0.8876567,0.6372126,0.8236329,0.6854667,0.52136964,0.9211948,0.83204913,0.7787956,0.72342426,1.2847508,0.95165604,1.0531769,0.7558697,0.8219211,1.1497649,1.0177374,0.68988794,0.87783146,0.7504575,1.3070518,0.68210447,1.067413,0.9581573,1.299165,1.108558,1.1454841,0.9513009,1.0726795,1.0902526,1.5944543,0.9626742,1.042679,1.6945618,1.3711134,1.0525839,1.1968021,1.137873,1.9407861,1.0095001,1.271463,0.9643419,1.0206336,1.4982415,1.1706132
"ARHGEF40",1.1850246,1.1883626,1.357165,1.2928293,1.4960386,1.0434734,1.1417596,1.5634103,1.2379196,1.8170455,1.7502663,1.2361435,1.6618836,1.1269581,1.0563786,1.2726723,1.177503,0.97479886,1.1346928,0.9354283,1.2580762,1.0845152,1.3713801,1.8482896,1.132489,1.2587904,1.4864308,1.1703982,1.1746101,1.2977048,1.3277419,0.8151186,0.88283426,1.3182344,1.4898071,0.7935211,1.0668178,1.0217983,0.82519996,1.1174089,1.4456787,1.2867085,1.1231288,1.8005236,2.3674784,1.9170356,1.7700961,1.4664025,2.0167363,1.8581408,2.2654269,1.3850019,2.6842299,2.1380525,0.8976945,1.3724061,1.5819299,1.0656617,1.2183356,1.6704757,1.9320567,1.7546636
"DCTN1",1.1906145,1.0004531,1.15205,1.1615608,0.9316431,1.0789727,0.7351405,0.934174,1.2945585,0.8295662,0.76463336,0.61344147,0.99038863,0.8890178,0.9175409,0.7439513,0.85037404,0.69499046,1.0456417,0.79290676,0.7757024,0.73333526,0.8521446,0.8464852,0.8788209,0.9394903,0.79802096,1.1931717,0.960326,0.93895584,0.9909509,0.9954589,1.041089,0.5741532,1.0033959,0.9736756,1.10792,1.0221661,1.0219725,0.7289107,0.6419246,0.7210963,0.7639112,0.72643065,0.39264852,0.5125357,0.7497255,0.9085067,0.648735,0.6484734,0.49472705,0.5361304,0.6716892,0.5316878,0.93624,0.5200029,0.64822894,0.78406096,0.5564809,0.6797399,0.66372997,0.8331319
"LPAR4",2.28644,4.759112,3.8375182,2.6718752,4.278055,3.0304017,2.7155972,6.449459,2.4844859,2.9984798,3.2709985,8.733258,1.4322633,1.8582952,1.8731129,4.6772037,2.5755458,1.6007181,4.1406894,1.7442194,6.187814,3.218838,2.438564,2.5941148,1.2314537,2.8059103,4.7637925,1.3134328,2.467787,3.2672873,1.4300979,1.5653939,1.5010352,2.8697696,2.7502227,3.4099545,3.85523,3.3435457,2.6286883,4.4595366,3.1561532,5.2046213,3.7121432,6.457946,9.95953,13.171217,6.5156913,6.8593106,8.872913,7.217277,4.071633,8.996087,2.0669801,7.0500026,2.6246119,4.213765,3.9086683,3.616379,6.353578,9.571761,4.0010557,4.776237
"RFXAP",0.3583703,0.34100136,0.26980275,0.39966536,0.29448292,0.47030783,0.45932078,0.42682508,0.35740736,0.46412325,0.64241093,0.5200856,0.5092823,0.48301718,0.5078396,0.4736101,0.49494538,0.4436971,0.34294972,0.6360043,0.47316265,0.4556869,0.6910585,0.5355969,0.5260024,0.4726261,0.4669403,0.46465003,0.5220562,0.44876015,0.7890183,0.4825607,0.50144565,0.46202138,0.54681337,0.4771161,0.463334,0.5610592,0.4838398,0.46254602,0.43349555,0.5059225,0.5332319,0.74079365,0.63207155,0.6265972,0.93565106,0.5932708,0.67386425,1.0148861,0.6772412,0.7665455,0.6532159,0.6398889,0.65457594,0.7764714,0.6555671,0.60941803,0.6411003,0.47166157,1.7113123,0.58215725
"RIOK3",0.32868764,0.30934834,0.32416078,0.3108147,0.3612859,0.7104718,0.67536163,0.7048512,0.32501867,0.63823384,0.72307765,0.6383546,0.74882215,0.8544859,0.7677497,0.6598338,0.7291197,0.67217636,0.31244645,0.6343828,0.70671993,0.666228,0.65017223,0.5384719,0.49272752,0.7013941,0.6879945,0.6228524,0.7828508,0.67459583,0.6687527,0.71939516,0.7161373,0.71141285,0.69993657,0.6799751,0.69020987,0.63714844,0.7145141,0.70445156,0.64710575,0.66183305,0.7241727,0.8997531,0.8272161,0.7684024,0.768939,0.8630101,0.7695614,0.8040807,0.91217816,0.73500186,0.84844637,0.8497305,0.98366946,0.8453115,0.83792233,0.83823925,0.81525815,0.7686931,0.771469,0.8007427
"ZNF843",0.55020547,0.52381825,0.674068,0.4883817,0.59436476,1.0329942,0.74828655,0.7673455,0.49875706,0.72051364,0.7922659,0.7243388,0.8130598,0.791218,0.8183044,0.74068403,0.72846013,0.7468729,0.54418206,0.66273683,0.77507555,0.73677206,0.7573981,1.0380143,0.8873633,0.76444894,0.7571116,0.80145824,0.78007466,0.740824,0.795719,0.7990368,0.7811082,0.76865274,0.78659266,0.7803701,0.7802224,0.7246129,0.7865929,0.75625324,0.72392803,0.7362152,0.76647574,0.9462265,0.89975655,0.8870851,0.79272217,0.9300309,0.8329203,0.8719498,1.0982188,0.79058504,0.92897654,0.9110565,0.92215,0.8537166,1.0218751,1.0189805,0.90077806,0.8466021,0.86492604,0.8840709
"TGFBR3",1.0717357,1.1598592,1.2768999,0.8635896,0.9590458,0.6250419,1.25593,1.0373682,0.9824637,1.31748,0.71296966,2.772296,0.2540346,1.081437,0.6611524,1.5845352,0.8796636,1.356413,1.107504,0.54341763,1.6138693,1.67576,0.58423704,1.6166205,0.96494395,0.8761767,1.0007565,0.44052508,0.3875869,1.2568797,0.21468315,0.73933256,0.30889747,1.844733,0.5337422,0.98722225,0.9992434,1.1395965,0.51568437,1.4774543,1.7439791,2.4116278,1.629202,1.8747013,4.305899,2.4040434,1.6779824,0.9452648,1.906063,2.5588498,2.9532375,2.0378,1.1155739,2.0587149,1.2068801,3.025806,2.0045474,1.1435556,1.803459,2.705658,1.3478957,1.9170517
